,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,heat,0,1,,,0.0,0.0,13,1176.0230129790857,0,0,1,"['190624-15226-001', '190819-19439-004', '190819-19439-004', '190819-19439-007', '190819-19439-007']",2019-09-18 06:40:00,1176.0230129790857,2019-09-18 06:40:00,1176.0230129790857,2019-09-10 10:03:00,,2019-09-18 06:40:00,1176.0230129790857,,0,,
1,heat,1,0,,,1313.1000000000058,1313.1000000000058,13,1261.9,0,0,2,['190624-15226-001'],2019-10-14 10:01:00,445.6,2019-10-14 10:01:00,445.6,2019-09-18 22:13:00,,2019-10-14 12:02:00,1261.9,,0,,
2,open,,0,,,11.0,,13,,,,,,2019-10-14 16:45:00,1256.0,,,,,2019-10-14 16:52:00,803.9,,,,
3,reheat,,0,,,240.19999999998254,,13,,,,2,,2019-10-14 16:52:00,803.9,,,,,2019-10-14 17:15:00,,,,,
4,hold,,0,,,1851.8000000000175,,13,,,,,,2019-10-14 17:15:00,,,,,,2019-10-14 22:55:00,,,,1256.134017595308,
5,open,,0,,,44.09999999997672,,13,,,,,,2019-10-14 22:55:00,1259.1,,,,,2019-10-14 23:08:00,854.1,,,,
6,reheat,,0,,,120.70000000001164,,13,,,,0,,2019-10-14 23:08:00,854.1,,,,,2019-10-14 23:20:00,,,,,
7,hold,,0,,,81.70000000001164,,13,,,,,,2019-10-14 23:20:00,,,,,,2019-10-14 23:34:00,,,,1256.8133333333333,
8,open,,0,,,32.09999999997672,,13,,,,,,2019-10-14 23:34:00,1256.3,,,,,2019-10-14 23:44:00,861.2,,,,
9,reheat,,0,,,259.20000000001164,,13,,,,0,,2019-10-14 23:44:00,861.2,,,,,2019-10-15 00:11:00,,,,,
10,hold,,0,,,1405.1000000000058,,13,,,,,,2019-10-15 00:11:00,,,,,,2019-10-15 05:01:00,,,,1256.323711340206,
11,open,,0,,,14.39999999999418,,13,,,,,,2019-10-15 05:01:00,1258.3,,,,,2019-10-15 05:09:00,860.6,,,,
12,reheat,,0,,,155.5,,13,,,,1,,2019-10-15 05:09:00,860.6,,,,,2019-10-15 05:28:00,,,,,
13,heat,2,0,,,259.70000000001164,259.70000000001164,13,1254.5,0,0,1,['190624-15226-001'],2019-10-15 05:47:00,853.5,2019-10-15 05:47:00,853.5,2019-10-15 05:37:00,,2019-10-15 06:15:00,1254.5,,0,,
14,heat,3,0,,,179.39999999999418,299.19999999998254,13,1257.2,2019-10-15 11:48:00,1,3,['190624-15226-001'],2019-10-15 11:32:00,866.5,2019-10-15 11:32:00,866.5,2019-10-15 11:21:00,,2019-10-15 12:07:00,1257.2,,858.7,,
15,heat,4,0,,,1054.3999999999942,1054.3999999999942,13,1259.3,0,0,2,['190905-19234-006'],2019-10-15 22:58:00,440.4,2019-10-15 22:58:00,440.4,2019-10-15 20:21:00,,2019-10-16 00:34:00,1259.3,,0,,
16,open,,0,,,34.79999999998836,,13,,,,,,2019-10-16 11:09:00,1260.4,,,,,2019-10-16 11:22:00,826.6,,,,
17,reheat,,0,,,122.60000000000582,,13,,,,1,,2019-10-16 11:22:00,826.6,,,,,2019-10-16 11:35:00,,,,,
18,open,,0,,,48.39999999999418,,13,,,,,,2019-10-16 11:35:00,1262.9,,,,,2019-10-16 11:48:00,839.9,,,,
19,reheat,,0,,,30.0,,13,,,,1,,2019-10-16 11:48:00,839.9,,,,,2019-10-16 11:52:00,,,,,
20,open,,0,,,3.1000000000058208,,13,,,,,,2019-10-16 11:52:00,1042.0,,,,,2019-10-16 11:56:00,785.6,,,,
21,reheat,,0,,,191.79999999998836,,13,,,,0,,2019-10-16 11:56:00,785.6,,,,,2019-10-16 12:15:00,,,,,
22,hold,,0,,,1175.3000000000175,,13,,,,,,2019-10-16 12:15:00,,,,,,2019-10-16 17:11:00,,,,1257.8010101010102,
23,open,,0,,,5.199999999982538,,13,,,,,,2019-10-16 17:11:00,1260.1,,,,,2019-10-16 17:16:00,888.3,,,,
24,reheat,,0,,,31.800000000017462,,13,,,,0,,2019-10-16 17:16:00,888.3,,,,,2019-10-16 17:20:00,,,,,
25,heat,5,0,,,263.5,263.5,13,1259.8,0,0,1,['190905-19234-006'],2019-10-16 17:34:00,651.6,2019-10-16 17:34:00,651.6,2019-10-16 17:21:00,,2019-10-16 18:00:00,1259.8,,0,,
26,open,,0,,,27.79999999998836,,13,,,,,,2019-10-16 22:41:00,1259.7,,,,,2019-10-16 23:00:00,804.1,,,,
27,reheat,,0,,,141.0,,13,,,,1,,2019-10-16 23:00:00,804.1,,,,,2019-10-16 23:14:00,,,,,
28,hold,,0,,,609.1000000000058,,13,,,,,,2019-10-16 23:14:00,,,,,,2019-10-17 01:39:00,,,,1256.2575342465755,
29,open,,0,,,28.70000000001164,,13,,,,,,2019-10-17 01:39:00,1259.4,,,,,2019-10-17 01:51:00,810.5,,,,
30,reheat,,0,,,118.29999999998836,,13,,,,0,,2019-10-17 01:51:00,810.5,,,,,2019-10-17 02:03:00,,,,,
31,heat,6,0,,,183.59999999997672,183.59999999997672,13,1255.9,0,0,1,['190905-19234-012'],2019-10-17 04:34:00,792.2,2019-10-17 04:32:00,831.0,2019-10-17 04:26:00,,2019-10-17 04:57:00,1255.9,,0,,
32,open,,0,,,26.20000000001164,,13,,,,,,2019-10-17 11:21:00,1263.4,,,,,2019-10-17 11:30:00,1055.9,,,,
33,reheat,,0,,,28.89999999999418,,13,,,,1,,2019-10-17 11:30:00,1055.9,,,,,2019-10-17 11:34:00,,,,,
34,open,,0,,,9.700000000011642,,13,,,,,,2019-10-17 11:34:00,1210.7,,,,,2019-10-17 11:38:00,938.4,,,,
35,reheat,,0,,,55.39999999999418,,13,,,,0,,2019-10-17 11:38:00,938.4,,,,,2019-10-17 11:43:00,,,,,
36,open,,0,,,7.2000000000116415,,13,,,,,,2019-10-17 11:43:00,1212.8,,,,,2019-10-17 11:45:00,1033.9,,,,
37,reheat,,0,,,97.79999999998836,,13,,,,0,,2019-10-17 11:45:00,1033.9,,,,,2019-10-17 11:55:00,,,,,
38,hold,,0,,,315.70000000001164,,13,,,,,,2019-10-17 11:55:00,,,,,,2019-10-17 13:11:00,,,,1259.337662337662,
39,open,,0,,,26.199999999982538,,13,,,,,,2019-10-17 13:11:00,1262.0,,,,,2019-10-17 13:19:00,1185.0,,,,
40,reheat,,0,,,75.30000000001746,,13,,,,0,,2019-10-17 13:19:00,1185.0,,,,,2019-10-17 13:34:00,,,,,
41,hold,,0,,,628.5999999999767,,13,,,,,,2019-10-17 13:34:00,,,,,,2019-10-17 16:33:00,,,,1260.9494444444445,
42,open,,0,,,17.20000000001164,,13,,,,,,2019-10-17 16:33:00,1263.5,,,,,2019-10-17 16:42:00,862.7,,,,
43,reheat,,0,,,80.60000000000582,,13,,,,0,,2019-10-17 16:42:00,862.7,,,,,2019-10-17 16:50:00,,,,,
44,heat,7,0,,,361.9000000000233,361.9000000000233,13,1252.7,0,0,2,['190905-19234-012'],2019-10-17 17:06:00,643.2,2019-10-17 17:06:00,643.2,2019-10-17 16:51:00,,2019-10-17 17:45:00,1252.7,,0,,
45,open,,0,,,33.5,,13,,,,,,2019-10-17 22:51:00,1262.4,,,,,2019-10-17 23:06:00,739.5,,,,
46,reheat,,0,,,171.30000000001746,,13,,,,1,,2019-10-17 23:06:00,739.5,,,,,2019-10-17 23:26:00,,,,,
47,hold,,0,,,346.29999999998836,,13,,,,,,2019-10-17 23:26:00,,,,,,2019-10-18 00:51:00,,,,1258.3534883720931,
48,open,,0,,,25.29999999998836,,13,,,,,,2019-10-18 00:51:00,1261.1,,,,,2019-10-18 00:59:00,983.5,,,,
49,reheat,,0,,,114.60000000000582,,13,,,,1,,2019-10-18 00:59:00,983.5,,,,,2019-10-18 01:16:00,,,,,
50,hold,,0,,,115.60000000000582,,13,,,,,,2019-10-18 01:16:00,,,,,,2019-10-18 01:45:00,,,,1258.0933333333337,
51,open,,0,,,26.10000000000582,,13,,,,,,2019-10-18 01:45:00,1260.8,,,,,2019-10-18 01:53:00,1058.4,,,,
52,reheat,,0,,,80.0,,13,,,,0,,2019-10-18 01:53:00,1058.4,,,,,2019-10-18 02:02:00,,,,,
53,hold,,0,,,560.1000000000058,,13,,,,,,2019-10-18 02:02:00,,,,,,2019-10-18 04:25:00,,,,1258.1965277777776,
54,open,,0,,,10.099999999976717,,13,,,,,,2019-10-18 04:25:00,1259.1,,,,,2019-10-18 04:29:00,995.7,,,,
55,reheat,,0,,,44.60000000000582,,13,,,,0,,2019-10-18 04:29:00,995.7,,,,,2019-10-18 04:34:00,,,,,
56,open,,0,,,10.10000000000582,,13,,,,,,2019-10-18 04:35:00,1261.1,,,,,2019-10-18 04:41:00,812.1,,,,
57,reheat,,0,,,147.20000000001164,,13,,,,0,,2019-10-18 04:41:00,812.1,,,,,2019-10-18 04:55:00,,,,,
58,hold,,0,,,579.5,,13,,,,,,2019-10-18 04:55:00,,,,,,2019-10-18 07:15:00,,,,1257.6191489361702,
59,open,,0,,,7.199999999982538,,13,,,,,,2019-10-18 07:15:00,1259.1,,,,,2019-10-18 07:18:00,1026.2,,,,
60,reheat,,0,,,48.90000000002328,,13,,,,0,,2019-10-18 07:18:00,1026.2,,,,,2019-10-18 07:23:00,,,,,
61,open,,0,,,3.1000000000058208,,13,,,,,,2019-10-18 07:24:00,1252.9,,,,,2019-10-18 07:27:00,931.1,,,,
62,reheat,,0,,,103.30000000001746,,13,,,,0,,2019-10-18 07:27:00,931.1,,,,,2019-10-18 07:37:00,,,,,
63,heat,8,0,,,0.0,8.300000000017462,13,1044.1,2019-10-18 09:47:00,1,43,"['190529-19154-002', '190529-19154-001']",2019-10-18 09:14:00,1019.4,2019-10-18 09:14:00,1019.4,2019-10-18 07:39:00,,2019-10-18 09:28:00,1044.1,,870.3,,
64,heat,8,0,,,38.59999999997672,38.59999999997672,13,1008.1,2019-10-18 09:47:00,1,43,"['190529-19154-002', '190529-19154-001']",2019-10-18 09:47:00,870.3,2019-10-18 09:14:00,1019.4,2019-10-18 07:39:00,,2019-10-18 09:57:00,1008.1,,870.3,,
65,heat,8,0,,,363.70000000001164,363.70000000001164,13,1252.9,2019-10-18 09:47:00,1,43,"['190529-19154-002', '190529-19154-001']",2019-10-18 14:18:00,1011.4,2019-10-18 09:14:00,1019.4,2019-10-18 07:39:00,,2019-10-18 15:12:00,1252.9,,870.3,,
66,open,,0,,,12.200000000011642,,13,,,,,,2019-10-18 20:26:00,1258.4,,,,,2019-10-18 20:34:00,849.9,,,,
67,reheat,,0,,,31.89999999999418,,13,,,,0,,2019-10-18 20:34:00,849.9,,,,,2019-10-18 20:38:00,,,,,
68,open,,0,,,14.60000000000582,,13,,,,,,2019-10-18 20:38:00,1113.0,,,,,2019-10-18 20:55:00,551.0,,,,
69,reheat,,0,,,311.29999999998836,,13,,,,2,,2019-10-18 20:55:00,551.0,,,,,2019-10-18 21:25:00,,,,,
70,hold,,0,,,1173.7000000000116,,13,,,,,,2019-10-18 21:25:00,,,,,,2019-10-19 01:29:00,,,,1254.2334693877551,
71,open,,0,,,14.199999999982538,,13,,,,,,2019-10-19 01:29:00,1258.1,,,,,2019-10-19 01:41:00,692.1,,,,
72,reheat,,0,,,224.5,,13,,,,1,,2019-10-19 01:41:00,692.1,,,,,2019-10-19 02:07:00,,,,,
73,heat,9,0,,,0.0,80.70000000001164,13,298.4,2019-10-21 20:34:00,2,28,"['180903-12339-009', '180714-15088-006', '190918-12321-002']",2019-10-21 16:29:00,61.3,2019-10-21 16:29:00,61.3,2019-10-19 06:10:00,,2019-10-21 16:40:00,298.4,,476.2,,
74,heat,9,0,,,1933.8999999999942,1933.8999999999942,13,1257.0,2019-10-21 20:34:00,2,28,"['180903-12339-009', '180714-15088-006', '190918-12321-002']",2019-10-21 16:47:00,200.7,2019-10-21 16:29:00,61.3,2019-10-19 06:10:00,,2019-10-21 20:02:00,1257.0,,476.2,,
75,heat,9,0,,,1881.5,1881.5,13,1261.0,2019-10-21 20:34:00,2,28,"['180903-12339-009', '180714-15088-006', '190918-12321-002']",2019-10-21 20:34:00,476.2,2019-10-21 16:29:00,61.3,2019-10-19 06:10:00,,2019-10-21 23:19:00,1261.0,,476.2,,
76,open,,0,,,35.5,,13,,,,,,2019-10-22 15:32:00,1256.1,,,,,2019-10-22 15:43:00,872.3,,,,
77,reheat,,0,,,180.20000000001164,,13,,,,1,,2019-10-22 15:43:00,872.3,,,,,2019-10-22 16:07:00,,,,,
78,heat,10,0,,,185.0,185.0,13,1254.0,0,0,1,['180714-15088-006'],2019-10-22 18:03:00,987.4,2019-10-22 18:01:00,941.2,2019-10-22 17:56:00,,2019-10-22 18:28:00,1254.0,,0,,
79,open,,0,,,28.800000000046566,,13,,,,,,2019-10-22 18:48:00,1256.7,,,,,2019-10-22 18:59:00,804.4,,,,
80,reheat,,0,,,213.79999999998836,,13,,,,1,,2019-10-22 18:59:00,804.4,,,,,2019-10-22 19:25:00,,,,,
81,heat,11,0,,,0.0,53.90000000002328,13,780.5,2019-10-22 21:13:00,1,5,"['190917-15006-002', '190710-19001-103', '190710-19001-102', '190710-19001-101', '190710-19001-100', '190917-15006-002', '190908-79930-001', '190908-79930-001']",2019-10-22 21:00:00,517.8,2019-10-22 21:00:00,517.8,2019-10-22 20:22:00,,2019-10-22 21:08:00,780.5,,633.2,,
82,heat,11,0,,,1972.7999999999884,1972.7999999999884,13,1258.3,2019-10-22 21:13:00,1,5,"['190917-15006-002', '190710-19001-103', '190710-19001-102', '190710-19001-101', '190710-19001-100', '190917-15006-002', '190908-79930-001', '190908-79930-001']",2019-10-22 21:13:00,633.2,2019-10-22 21:00:00,517.8,2019-10-22 20:22:00,,2019-10-23 00:04:00,1258.3,,633.2,,
83,open,,0,,,41.199999999953434,,13,,,,,,2019-10-23 02:37:00,1252.8,,,,,2019-10-23 02:50:00,724.4,,,,
