,순번,프레스명,작업일자,주/야간,수주번호,시리얼번호,할당가열로,장입가열로,수주치수,사내재질,단조작업내역,비고,강종,수량,투입중량,투입수량,원단위가스량,시작시간
15,739,P5,2020-03-17,야간,200214-19235-001,001,"01,03",가열로1호기,"205.00SQ X 300.00SQ X 700.00T
",TW 350LF2,"S/N:001-006 동시작업 시방서참고
1차,2차작업","지정300T
SB72628",CARBON,6,4500,1,60.32,2020-03-17 06:50
16,740,P5,2020-03-17,야간,200214-19235-002,001,"01,03",가열로1호기,"205.00SQ X 300.00SQ X 700.00T
",TW 350LF2,"7EA 동시작업  시방서참고
1차,2차작업","지정300T
SB72628",CARBON,6,5200,1,69.7,2020-03-17 06:50
17,741,P5,2020-03-17,야간,191125-19581-002,001,"01,03",가열로1호기,"980.00 X 725.00 X 2520.00
",TW S360,"S/N:001 시방서참고 R/TRUNK
650 T/BAR사용  두번작업할것","3/17 P5주
1차작업분",CARBON,1,13930,1,186.72,2020-03-17 06:50
18,872,P5,2020-03-19,야간,200131-19157-010,001,"01,02",가열로1호기,"1844.00 X 1301.50 X 695.00
",TW F22,"35/60/50 S/N:001
1444*500*815","열처리예열
지정히트",ALLOY,1,9760,1,94.77,2020-03-19 03:33
19,873,P5,2020-03-19,야간,200131-19157-017,"001,002","01,02",가열로1호기,"1838.00 X 1295.50 X 675.00
",TW F22,"35/60/50 S/N:001-002
1444*500*790 600T->1800T->황지","열처리예열
히트확인",ALLOY,2,9470,2,91.95,2020-03-19 03:33
20,874,P5,2020-03-19,야간,200131-19157-023,001,"01,02",가열로1호기,"1598.00 X 1077.50 X 580.00
",TW F22,"35/60/50 S/N:001
1304*450*690","열처리예열
지정히트",ALLOY,1,6750,1,65.54,2020-03-19 03:33
21,875,P5,2020-03-19,야간,200205-19922-002,"001,002,003","01,02",가열로1호기,"1797.05 X 0.00 X 228.60
",TW F304L,"50/45 S/N:001-003
1847.05 X 273.6   크랙발생시 가우징","톱절단
300T",SUS 304,3,6050,3,58.74,2020-03-19 03:33
22,876,P5,2020-03-19,야간,200217-15226-055,001,"01,02",가열로1호기,"1914.00 X 0.00 X 200.00
",TW F304L,"45/45 S/N:001
1959 X 245   크랙발생시 가우징","톱절단
300T",SUS 304,1,6090,1,59.13,2020-03-19 03:33
23,939,P5,2020-03-20,야간,200105-19180-396,001,"01,02,05",가열로1호기,COGGING,"WTG-113
(INGOT)","GE 1.5MW M/SHAFT COGGING
별도시방서 코깅바 UT합격. 재단조(코깅)","150톤크레인장
코깅바",ALLOY,1,10530,1,104.54,2020-03-20 07:09
24,940,P5,2020-03-20,야간,200105-19180-397,001,"01,02,05",가열로1호기,COGGING,"WTG-113
(INGOT)","GE 1.5MW M/SHAFT COGGING
별도시방서 코깅바 UT합격. 재단조(코깅)","150톤크레인장
코깅바",ALLOY,1,10530,1,104.54,2020-03-20 07:09
25,941,P5,2020-03-20,야간,가열로다이,001,"01,02,05",가열로1호기,"SQ(450 X 450 X 4800)
",C-STEEL,R/M사용,"R/B 테일부
및 압탕",,2,8000,2,79.42,2020-03-20 07:09
26,1003,P5,2020-03-23,야간,200106-99010-001,001,"01,04",가열로1호기,"1670.00SQ X 1600.00SQ X 330.00T
",TW 42CrMo4,"80/80/50 S/N:001  축방향바꿈
SQ1750 X SQ1680 X 380T","3/23 P5주
1차작업분",ALLOY,1,9200,1,81.36,2020-03-21 07:30
27,1011,P5,2020-03-23,야간,191125-19581-002,002,"01,04",가열로1호기,"980.00 X 725.00 X 2520.00
",TW S360,"S/N:002 시방서참고 R/TRUNK
650 T/BAR사용","R/BLOOM
Φ1000",CARBON,1,13930,1,123.2,2020-03-21 07:30
28,1012,P5,2020-03-23,야간,200129-15088-001,"001,002","01,04",가열로1호기,"1190.00 X 603.26 X 1091.00
",TW SF490V,"60/153.26/80 S/N:001-002
1250 X 450 X 1171  단조비 확보.","Φ1000 R/B
히트확인",CARBON,2,10300,2,91.09,2020-03-21 07:30
29,1082,P5,2020-03-24,야간,200204-19411-040,"001,002,003,004","01,04",가열로1호기,"6000.00 X 5500.00 X 147.00
",TWS355,"40/40/35 S/N:001-004
1528*500*590","400T
SLAB",CARBON,4,8030,4,65.08,2020-03-24 02:37
30,1083,P5,2020-03-24,야간,200204-19411-041,001,"01,04",가열로1호기,"6000.00 X 5500.00 X 147.00
",TWS355,"40/40/35 S/N:001
1528*500*590","400T
SLAB",CARBON,1,8030,1,65.08,2020-03-24 02:37
31,1084,P5,2020-03-24,야간,200226-15055-002,001,"01,04",가열로1호기,"3452.00 X 3000.00 X 330.00
",TW 350LF2,"25/25/25 S/N:001
1564*500*530","400T
히트확인",CARBON,1,7610,1,61.67,2020-03-24 02:37
32,1085,P5,2020-03-24,야간,200131-19157-028,001,"01,04",가열로1호기,"1752.00 X 0.00 X 330.00
",TW F22,"45/35 S/N:001
1797 X 365  1차,2차작업","열처리예열
300T",ALLOY,1,7560,1,61.27,2020-03-24 02:37
33,1086,P5,2020-03-24,야간,200131-19157-031,001,"01,04",가열로1호기,"1752.00 X 0.00 X 330.00
",TW F22,"45/35 S/N:001
1797 X 365  1차,2차작업","열처리예열
300T",ALLOY,1,7560,1,61.27,2020-03-24 02:37
34,1162,P5,2020-03-25,야간,200130-12321-001,001,"01,04",가열로1호기,"360.00 X 0.00 X 5099.00
",TW 266MGr2,"S/N:001 시방서참고 R/STOCK
1차,2차작업","400T
히트확인",CARBON,1,5780,1,58.18,2020-03-25 06:56
35,1163,P5,2020-03-25,야간,200130-12321-002,001,"01,04",가열로1호기,"495.00 X 0.00 X 4940.00
",TW 266MGr2,"S/N:001 시방서참고 R/STOCK
1차,2차작업","400T
히트확인",CARBON,1,9310,1,93.71,2020-03-25 06:56
36,1161,P5,2020-03-25,야간,200204-19411-046,"003,004","01,04",가열로1호기,"6000.00 X 5500.00 X 147.00
",TWS355,"40/40/35 S/N:003-004
1528*500*590","400T
SLAB",CARBON,2,8030,2,80.83,2020-03-25 06:56
37,1216,P5,2020-03-26,야간,200214-19235-001,001,"01,04",가열로1호기,"205.00SQ X 300.00SQ X 700.00T
",TW 350LF2,"S/N:001-006 단조수정(UT불량)
수정방안 참고","단조수정
열처리반앞",CARBON,6,4500,1,68.6,2020-03-26 03:44
38,1217,P5,2020-03-26,야간,200214-19235-002,001,"01,04",가열로1호기,"205.00SQ X 300.00SQ X 700.00T
",TW 350LF2,"7EA 동시작업  단조수정(UT불량)
수정방안 참고","단조수정
열처리반앞",CARBON,6,5200,1,79.27,2020-03-26 03:44
39,1215,P5,2020-03-26,야간,200212-15045-001,"002,003","01,04",가열로1호기,"630.00 X 0.00 X 4515.00
",S30Mn,"S/N:002-003 시방서참고 PISTON ROD
1차,2차작업","400T
SLAB",CARBON,2,8500,2,129.57,2020-03-26 03:44
40,1272,P5,2020-03-27,야간,200221-19234-029,"001,002,003,004,005","01,04",가열로1호기,"4996.50 X 4472.50 X 187.00
",TWS355,"35/35/30 S/N:001-005
1560*500*565","400T
SLAB",CARBON,5,8070,5,38,2020-03-27 02:42
41,1271,P5,2020-03-27,야간,200221-19234-028,"001,002,003,004,005","01,04",가열로1호기,"4996.50 X 4472.50 X 187.00
",TWS355,"35/35/30 S/N:001-005
1560*500*565","400T
SLAB",CARBON,5,8070,5,38,2020-03-27 02:42
42,1335,P5,2020-03-30,야간,200131-15200-005,001,"01,02",가열로1호기,"2120.00 X 0.00 X 247.00
",TW F6A,"60/45 S/N:001
2180 X 292  1차,2차작업 (크랙시 가우징)","톱절단
COGBAR",SUS,1,9130,1,127.34,2020-03-28 09:06
43,1336,P5,2020-03-30,야간,200131-15200-006,001,"01,02",가열로1호기,"2120.00 X 0.00 X 247.00
",TW F6A,"60/45 S/N:001
2180 X 292  1차,2차작업 (크랙시 가우징)","톱절단
COGBAR",SUS,1,9130,1,127.34,2020-03-28 09:06
44,1337,P5,2020-03-30,야간,200131-15200-015,001,"01,02",가열로1호기,"2252.00 X 0.00 X 247.00
",TW F6A,"65/45 S/N:001
2317 X 292  1차,2차작업 (크랙시 가우징)","톱절단
COGBAR",SUS,1,10300,1,143.66,2020-03-28 09:06
45,1338,P5,2020-03-30,야간,200131-15200-016,001,"01,02",가열로1호기,"2252.00 X 0.00 X 247.00
",TW F6A,"65/45 S/N:001
2317 X 292  1차,2차작업 (크랙시 가우징)","톱절단
COGBAR",SUS,1,10300,1,143.66,2020-03-28 09:06
46,1342,P5,2020-03-30,야간,200203-19968-001,002,"01,02",가열로1호기,"3005.00 X 2050.00 X 140.00
", TW F321H,"35/35/35 S/N:002 시방서참고
1850*500*300","가우징후
투입",SUS 321,1,6690,1,93.31,2020-03-28 09:06
47,1402,P5,2020-03-31,야간,200224-19151-024,"001,002","01,02",가열로1호기,"1830.00 X 1130.00 X 768.00
",TW F22,"35/60/50 S/N:001-002
1543*500*900  단조비 확보. T많이쌓을것","열처리예열
1000 R/B",ALLOY,2,12520,2,61.24,2020-03-31 06:55
48,1403,P5,2020-03-31,야간,200212-19157-001,001,"01,02",가열로1호기,"982.50 X 508.00 X 2105.00
",TW F22,"70/78/150 S/N:001  430 T/BAR사용
1352*450*1300  펀치작업","열처리예열
1000 R/B",ALLOY,1,14100,1,68.97,2020-03-31 06:55
49,1401,P5,2020-03-31,야간,200224-19151-013,001,"01,02",가열로1호기,"1810.00 X 1078.00 X 745.00
",TW F22,"35/60/50 S/N:001
1557*500*870  단조비확보.  T많이쌓을것","열처리예열
1000 R/B",ALLOY,1,12350,1,60.41,2020-03-31 06:55
50,1404,P5,2020-03-31,야간,200224-19151-009,001,"01,02",가열로1호기,"1385.00 X 703.00 X 602.00
",TW F22,"50/60/60 S/N:001
1329*450*700  노즐타입. 각 살릴것","열처리예열
1000 R/B",ALLOY,1,7150,1,34.98,2020-03-31 06:55
51,1469,P5,2020-04-01,야간,200131-15200-015,001,"01,02,05",가열로1호기,"2252.00 X 0.00 X 247.00
",TW F6A,"65/45 S/N:001
2317 X 292  2차작업","가우징후
재투입",SUS,1,10300,1,116.69,2020-04-01 08:56
52,1468,P5,2020-04-01,야간,200131-15200-005,001,"01,02,05",가열로1호기,"2120.00 X 0.00 X 247.00
",TW F6A,"60/45 S/N:001
2180 X 292  2차작업","가우징후
재투입",SUS,1,9130,1,103.43,2020-04-01 08:56
53,1709,P5,2020-04-06,주간,200131-15200-011,001,"01,02",가열로1호기,"2252.00 X 0.00 X 247.00
",TW F6A,"65/45 S/N:001
2317 X 292  1차,2차작업 (크랙시 가우징)","톱절단
COGBAR",SUS,1,10300,1,118.52,2020-04-05 07:20
54,1711,P5,2020-04-06,주간,200131-15200-013,001,"01,02",가열로1호기,"2252.00 X 0.00 X 247.00
",TW F6A,"65/45 S/N:001
2317 X 292  1차,2차작업 (크랙시 가우징)","톱절단
COGBAR",SUS,1,10300,1,118.52,2020-04-05 07:20
55,1712,P5,2020-04-06,주간,200131-15200-014,001,"01,02",가열로1호기,"2252.00 X 0.00 X 247.00
",TW F6A,"65/45 S/N:001
2317 X 292  1차,2차작업 (크랙시 가우징)","톱절단
COGBAR",SUS,1,10300,1,118.52,2020-04-05 07:20
56,1710,P5,2020-04-06,주간,200131-15200-012,001,"01,02",가열로1호기,"2252.00 X 0.00 X 247.00
",TW F6A,"65/45 S/N:001
2317 X 292  1차,2차작업 (크랙시 가우징)","톱절단
COGBAR",SUS,1,10300,1,118.52,2020-04-05 07:20
57,2113,P5,2020-04-14,야간,200313-99010-001,"001,002","01,02",가열로1호기,"2250.00SQ X 1569.30SQ X 120.00T
",TW 42CrMo4,"2EA씩 동시작업 R/M TABLE 도면참조
*단조치수:sq(4750x1670x170) 총2개.
*절단치수:sq(2350x1670x170) 총4개.","열처리예열
￠1000 R/B",ALLOY,2,12410,2,104.74,2020-04-14 06:30
58,2117,P5,2020-04-14,야간,200205-19922-002,004,"01,02",가열로1호기,"1797.05 X 0.00 X 228.60
",TW F304L,"50/45 S/N:004
1847.05 X 273.6 ","가우징후
재투입",SUS 304,1,6050,1,51.06,2020-04-14 06:30
59,2116,P5,2020-04-14,야간,200217-15226-052,002,"01,02",가열로1호기,"1811.00 X 0.00 X 190.00
",TW F304L,"45/45 S/N:002
1856 X 235   긴급건 2차작업","가우징후
재투입",SUS 304,1,5250,1,44.31,2020-04-14 06:30
60,2115,P5,2020-04-14,야간,200323-15197-001,001,"01,02",가열로1호기,"3000.00 X 2545.00 X 345.00
",TW 42CrMo4,"20/40/30 S/N:001
1504*450*520","C/SAW절단
600 R/B",ALLOY,1,7010,1,59.16,2020-04-14 06:30
61,2174,P5,2020-04-15,야간,200313-99010-001,"001,002","01,02",가열로1호기,"2250.00SQ X 1569.30SQ X 120.00T
",TW 42CrMo4M,"2EA씩 동시작업 R/M TABLE 도면참조
*단조치수:sq(4750x1670x170) 총2개.
*절단치수:sq(2350x1670x170) 총4개.","4/14 P5야
1차작업분",ALLOY,2,12410,2,54.49,2020-04-15 06:49
62,2183,P5,2020-04-15,야간,200326-15207-005,001,"01,02",가열로1호기,"1035.00 X 840.00 X 1590.00
",TW SNCM420 M1,"60/50/250 S/N:001
1095 X 790 X 1840  펀치작업  800T/BAR","4/14 P5주
COGBAR",ALLOY,1,8630,1,37.89,2020-04-15 06:49
63,2182,P5,2020-04-15,야간,200326-15207-001,001,"01,02",가열로1호기,"955.00 X 775.00 X 1818.00
",TW SNCM420 M1,"60/50/350 S/N:001
1015 X 725 X 2168  펀치작업  740T/BAR","4/14 P5주
COGBAR",ALLOY,1,7980,1,35.04,2020-04-15 06:49
64,2184,P5,2020-04-15,야간,200212-15045-001,"012,013","01,02",가열로1호기,"630.00 X 0.00 X 4515.00
",TW S30Mn,"S/N:012-013 시방서참고 PISTON ROD
1차,2차작업    <400T SLAB>","4/13 P5주
미작업분",CARBON,2,8600,2,37.76,2020-04-15 06:49
65,2237,P5,2020-04-16,야간,200218-99896-006,"001,002","01,02",가열로1호기,"2028.00 X 0.00 X 160.00
",TW F304L,"60/45 S/N:001-002
2088 X 205","가우징후
재투입",SUS 304,2,5790,2,60.67,2020-04-16 02:45
66,2236,P5,2020-04-16,야간,200218-99896-003,"001,002","01,02",가열로1호기,"2028.00 X 0.00 X 160.00
",TW F304L,"60/45 S/N:001-002
2088 X 205","가우징후
재투입",SUS 304,2,5790,2,60.67,2020-04-16 02:45
67,2235,P5,2020-04-16,야간,200217-15226-088,001,"01,02",가열로1호기,"2189.00 X 0.00 X 121.00
",TW F304L,"60/45 S/N:001
2249 X 166","가우징후
재투입",SUS 304,1,5440,1,57.01,2020-04-16 02:45
68,2234,P5,2020-04-16,야간,200217-15226-069,001,"01,02",가열로1호기,"2244.00 X 0.00 X 165.00
",TW F304L,"60/45 S/N:001
2304 X 210","가우징후
재투입",SUS 304,1,7220,1,75.66,2020-04-16 02:45
69,2233,P5,2020-04-16,야간,200217-15226-055,002,"01,02",가열로1호기,"1914.00 X 0.00 X 200.00
",TW F304L,"45/45 S/N:002
1959 X 245","가우징후
재투입",SUS 304,1,6090,1,63.82,2020-04-16 02:45
70,2232,P5,2020-04-16,야간,200217-15226-052,001,"01,02",가열로1호기,"1811.00 X 0.00 X 190.00
",TW F304L,"45/45 S/N:001
1856 X 235","가우징후
재투입",SUS 304,1,5250,1,55.02,2020-04-16 02:45
71,2290,P5,2020-04-17,야간,200323-19998-001,"001,002,003,004,005","01,02",가열로1호기,"2956.00 X 2610.00 X 500.00
",TWS355,"30/30/30 S/N:001-005
1452*500*655  UT불량주의.","Φ800 R/B
히트확인",CARBON,5,7950,5,53.13,2020-04-17 07:00
72,2291,P5,2020-04-17,야간,200323-19998-007,"001,002,003,004,005","01,02",가열로1호기,"4300.00 X 3764.00 X 197.00
",TWS355,"30/30/35 S/N:001-005
1563*450*500","Φ800 R/B
히트확인",CARBON,5,7320,5,48.92,2020-04-17 07:00
73,2334,P5,2020-04-20,주간,200205-19922-002,"005,006,007,008","01,03",가열로1호기,"1797.05 X 0.00 X 228.60
",TW F304L,"50/45 S/N:005
1847.05 X 273.6","가우징후
투입건",SUS 304,1,6050,1,98.87,2020-04-19 07:30
74,2338,P5,2020-04-20,주간,200218-99896-003,002,"01,03",가열로1호기,"2028.00 X 0.00 X 160.00
",TW F304L,"60/45 S/N:002
2088 X 205","가우징후
재투입",SUS 304,1,5790,1,94.63,2020-04-19 07:30
75,2335,P5,2020-04-20,주간,200205-19922-002,002,"01,03",가열로1호기,"1797.05 X 0.00 X 228.60
",TW F304L,"50/45 S/N:006-008
1847.05 X 273.6","가우징후
투입건",SUS 304,3,6050,3,98.87,2020-04-19 07:30
76,2337,P5,2020-04-20,주간,200312-99914-030,002,"01,03",가열로1호기,"4300.00 X 3700.00 X 220.00
",S355NL,"30/30/35 S/N:001-006
1707*500*510","380T
SLAB",CARBON,6,8880,6,145.12,2020-04-19 07:30
77,2418,P5,2020-04-21,야간,가열로다이,"001,002","01,02,04",가열로1호기,"SQ(450 X 450 X 4800)
",C-STEEL,R/M사용,"R/B 테일부
및 압탕",,2,8000,2,128.26,2020-04-21 07:01
78,2415,P5,2020-04-21,야간,200323-14059-002,001,"01,02,04",가열로1호기,"4672.00 X 4354.60 X 300.00
",TW SNCM439 R,"40/60/45 S/N:001
1594*500*575","열처리 예열
COGBAR",ALLOY,1,8590,1,137.72,2020-04-21 07:01
79,2519,P5,2020-04-23,야간,200312-99914-038,"001,002,003,004,005,006","03,04",가열로1호기,"4300.00 X 3810.00 X 150.00
",TWS355,"30/30/35 S/N:001-006
1432*450*450","300T
SLAB",CARBON,6,5430,6,76.14,2020-04-23 01:35
80,2520,P5,2020-04-23,야간,가열로다이,"001,002","03,04",가열로1호기,"SQ(450 X 450 X 4800)
",C-STEEL,R/M사용,"R/B 테일부
및 압탕",,2,8000,2,112.18,2020-04-23 01:35
81,2566,P5,2020-04-24,야간,200330-15133-001,001,"01,02,04",가열로1호기,"395.00 X 0.00 X 4836.00
",TW S45SU,S/N:001 시방서참고 SHAFT,"열처리예열
300T",CARBON,1,4750,1,61.52,2020-04-24 07:00
82,2568,P5,2020-04-24,야간,200414-15622-001,001,"01,02,04",가열로1호기,"600.00 X 0.00 X 2430.00
",TW S45SU,"50/100 S/N:001  1차,2차작업
650 X 2530   제품 절단후 열처리할 것.","열처리예열
300T",CARBON,1,7250,1,93.9,2020-04-24 07:00
83,2571,P5,2020-04-24,야간,200312-99914-039,"001,002,003","01,02,04",가열로1호기,"4300.00 X 3810.00 X 150.00
",TWS355,"30/30/35 S/N:001-003
1432*450*450","300T
SLAB",CARBON,3,5430,3,70.33,2020-04-24 07:00
84,2625,P5,2020-04-25,야간,200326-19234-010,007,"01,02,04",가열로1호기,"5530.00 X 5112.00 X 150.00
",TWS355,"40/40/35 S/N:001-007
1407*450*555","310T
SLAB",CARBON,7,6450,7,62.37,2020-04-25 05:21
85,2626,P5,2020-04-25,야간,200326-19234-011,"001,002,003,004,005,006,007","01,02,04",가열로1호기,"5530.00 X 5112.00 X 150.00
",TWS355,"40/40/35 S/N:001-007
1407*450*555","310T
SLAB",CARBON,7,6450,7,62.37,2020-04-25 05:21
86,2663,P5,2020-04-27,주간,200323-19998-012,"008,009,010,014,015,016,004,011,012","01,02,04",가열로1호기,"3960.00 X 3450.00 X 177.00
",TWS355,"30/30/25 S/N:003-016
1468*450*440","필히 R/B
Φ800",CARBON,14,5620,14,60.57,2020-04-26 07:56
87,2726,P5,2020-04-28,주간,200212-15045-010,"001,002","01,02",가열로1호기,"630.00 X 0.00 X 4515.00
",TW S30Mn,"S/N:001-002 시방서참고 PISTON ROD
1차,2차작업","400T
SLAB",CARBON,2,8600,2,54,2020-04-27 19:30
88,2727,P5,2020-04-28,주간,200316-15008-003,001,"01,02",가열로1호기,"2709.00 X 2402.40 X 334.00
",TW F304L,"60/60/60 S/N:001
1363*450*510   ","불량품전용
열처리반",SUS 304,1,5800,1,36.42,2020-04-27 19:30
89,2728,P5,2020-04-28,주간,200323-19476-002,"003,004","01,02",가열로1호기,"4041.00 X 3483.00 X 215.00
",S355NL,"25/25/25 S/N:001-004
1559*450*495","380T
SLAB",CARBON,4,7210,4,45.27,2020-04-27 19:30
90,2730,P5,2020-04-28,주간,200323-19476-003,"001,002,003,004","01,02",가열로1호기,"4041.00 X 3483.00 X 215.00
",S355NL,"25/25/25 S/N:001-004
1559*450*495","380T
SLAB",CARBON,4,7210,4,45.27,2020-04-27 19:30
91,2785,P5,2020-04-29,야간,200409-15509-005,"001,002","01,03",가열로1호기,"2014.90 X 1474.60 X 575.40
",TW F11,"35/50/50 S/N:001-002
1491*500*695","Φ1000 R/B
히트확인",ALLOY,2,8960,2,27.12,2020-04-29 20:03
92,2786,P5,2020-04-29,야간,200401-19234-001,"001,002,003,004,005,006,007","01,03",가열로1호기,"3268.00 X 3010.00 X 400.00
",TWS355,"25/25/25 S/N:001-007
1282*450*570","310T
SLAB",CARBON,7,5390,7,16.32,2020-04-29 20:03
93,2828,P5,2020-04-30,야간,200409-19226-005,"001,002,003,004,005,006,007","01,03",가열로1호기,"4380.00 X 3620.00 X 150.00
",S355NL,"25/25/20 S/N:001-007
1598*450*470","380T
SLAB",CARBON,7,7230,7,67.45,2020-04-30 06:48
94,2867,P5,2020-05-06,야간,200205-19922-004,"001,002,003,004,005","01,03",가열로1호기,"1797.05 X 0.00 X 228.60
",TW F304L,"50/45 S/N:001-005
1847.05 X 273.6","톱절단
SLAB",SUS 304,5,6050,5,115.63,2020-05-05 07:30
95,2866,P5,2020-05-06,야간,200205-19922-003,"001,002,003","01,03",가열로1호기,"1797.05 X 0.00 X 228.60
",TW F304L,"50/45 S/N:001-003
1847.05 X 273.6","톱절단
SLAB",SUS 304,3,6050,3,115.63,2020-05-05 07:30
96,2956,P5,2020-05-08,주간,200212-15045-013,"002,004,005,006,001,003","01,04",가열로1호기,"986.00 X 0.00 X 1470.00
",TW S45SU,"S/N:001-006 CROSS HEAD
시방서참고","5/7 P5야
1차작업분",CARBON,6,10980,6,39.39,2020-05-07 06:05
97,3001,P5,2020-05-09,야간,200212-15045-011,"001,002,003,004,005,006","01,05",가열로1호기,"956.00 X 0.00 X 618.00
",TW S20CrMoVS,S/N:001-006 시방서참고 PISTON CROWN,"열처리예열
400T",ALLOY,6,4240,6,79.79,2020-05-09 02:50
98,2999,P5,2020-05-09,야간,200330-15006-019,001,"01,05",가열로1호기,"1350.00 X 858.40 X 760.00
",TW 350LF2,"40/40/40 S/N:001
1188*450*840","300T
히트확인",CARBON,1,6640,1,124.95,2020-05-09 02:50
99,2998,P5,2020-05-09,야간,200330-15006-018,001,"01,05",가열로1호기,"1210.00 X 858.40 X 980.00
",TW 350LF2,"40/40/40 S/N:001
1035*450*1065  1차,2차작업","300T
히트확인",CARBON,1,6050,1,113.85,2020-05-09 02:50
100,3158,P5,2020-05-13,주간,200408-15007-046,"001,002","01,04",가열로1호기,"2452.00 X 0.00 X 255.00
",TWS355,"55/35 S/N:001-002
2507 X 290   2번작업","5/12 P5야
1차작업분",CARBON,2,11920,2,76.57,2020-05-12 19:15
101,3157,P5,2020-05-13,주간,200408-15007-038,"001,002","01,04",가열로1호기,"2414.00 X 0.00 X 245.00
",TWS355,"55/35 S/N:001-002
2469 X 280   2번작업","5/12 P5야
1차작업분",CARBON,2,11160,2,71.68,2020-05-12 19:15
102,3577,P5,2020-05-25,야간,200521-19226-004,"006,007,008,009,010,011,012,013","01,02",가열로1호기,"3691.00 X 3141.00 X 215.00
",TWS355,"20/20/20 S/N:001-013
1508*450*460","300T
SLAB",CARBON,13,6230,13,120.4,2020-05-23 07:30
