,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,heat,0.0,1,0.4412803299055667,[],[],holding 0,1.8313133691081018,4.15,1354.8000000000175,1354.8000000000175,19,1140.0043470507408,0,0.0,3.0,"['180816-15111-003', '190527-19501-034', '190527-19501-033']",2019-09-14 07:37:00,1138.1730336816327,2019-09-12 04:00:00,1115.3956139863403,2019-09-12 03:47:00,,2019-09-14 11:46:00,1140.0043470507408,,0.0,,
1,heat,5.0,0,414.99999999999983,[],[],increasing 0,373.49999999999983,0.9,601.0,547.5,19,1229.1,2019-09-24 19:05:00,1.0,6.0,"['190921-99010-001', '200204-19180-030', '200204-19180-029', '200204-19180-028', '200204-19180-027', '200204-19180-026', '200204-19180-025']",2019-09-24 18:55:00,855.6,2019-09-24 18:55:00,855.6,2019-09-24 18:36:00,,2019-09-24 19:49:00,1229.1,,879.1,,
2,open,,0,,[],[],,,,9.799999999988357,,19,,,,,,2019-09-24 20:32:00,1226.5,,,,,2019-09-24 20:41:00,1025.3,,,,
3,reheat,,0,,[],[],,,,193.20000000001164,,19,,,,1.0,,2019-09-24 20:41:00,1025.3,,,,,2019-09-24 20:57:00,,,,,
4,hold,,0,,[],[],,,,2314.7999999999884,,19,,,,,,2019-09-24 20:57:00,1230.1,,,,,2019-09-25 10:56:00,1226.3,,,1226.0190476190476,
5,open,,0,,[],[],,,,4.899999999994178,,19,,,,,,2019-09-25 10:56:00,1226.3,,,,,2019-09-25 11:01:00,1042.5,,,,
6,reheat,,0,,[],[],,,,83.20000000001164,,19,,,,1.0,,2019-09-25 11:01:00,1042.5,,,,,2019-09-25 11:11:00,,,,,
7,hold,,0,,[],[],,,,239.79999999998842,,19,,,,,,2019-09-25 11:11:00,1228.4,,,,,2019-09-25 12:59:00,1226.4,,,1226.4119266055045,
8,open,,0,,[],[],,,,6.5,,19,,,,,,2019-09-25 12:59:00,1226.4,,,,,2019-09-25 13:03:00,1099.0,,,,
9,reheat,,0,,[],[],,,,45.0,,19,,,,1.0,,2019-09-25 13:03:00,1099.0,,,,,2019-09-25 13:09:00,,,,,
10,hold,,0,,[],[],,,,16.10000000000582,,19,,,,,,2019-09-25 13:09:00,1228.9,,,,,2019-09-25 13:13:00,1227.4,,,1228.36,
11,open,,0,,[],[],,,,4.899999999994178,,19,,,,,,2019-09-25 13:13:00,1227.4,,,,,2019-09-25 13:17:00,1108.6,,,,
12,reheat,,0,,[],[],,,,46.20000000001164,,19,,,,0.0,,2019-09-25 13:17:00,1108.6,,,,,2019-09-25 13:22:00,,,,,
13,hold,,0,,[],[],,,,14.5,,19,,,,,,2019-09-25 13:22:00,1227.0,,,,,2019-09-25 13:26:00,1227.9,,,1227.7,
14,open,,0,,[],[],,,,8.100000000005819,,19,,,,,,2019-09-25 13:26:00,1227.9,,,,,2019-09-25 13:30:00,1095.8,,,,
15,reheat,,0,,[],[],,,,47.79999999998836,,19,,,,1.0,,2019-09-25 13:30:00,1095.8,,,,,2019-09-25 13:36:00,,,,,
16,hold,,0,,[],[],,,,12.899999999994181,,19,,,,,,2019-09-25 13:36:00,1227.3,,,,,2019-09-25 13:39:00,1227.7,,,1227.775,
17,open,,0,,[],[],,,,6.400000000023283,,19,,,,,,2019-09-25 13:39:00,1227.7,,,,,2019-09-25 13:43:00,1072.5,,,,
18,reheat,,0,,[],[],,,,60.5,,19,,,,1.0,,2019-09-25 13:43:00,1072.5,,,,,2019-09-25 13:50:00,,,,,
19,hold,,0,,[],[],,,,17.699999999982538,,19,,,,,,2019-09-25 13:50:00,1227.8,,,,,2019-09-25 13:54:00,1227.8,,,1228.06,
20,open,,0,,[],[],,,,8.0,,19,,,,,,2019-09-25 13:54:00,1227.8,,,,,2019-09-25 13:59:00,1063.7,,,,
21,reheat,,0,,[],[],,,,61.80000000001746,,19,,,,0.0,,2019-09-25 13:59:00,1063.7,,,,,2019-09-25 14:05:00,,,,,
22,hold,,0,,[],[],,,,24.0,,19,,,,,,2019-09-25 14:05:00,1226.9,,,,,2019-09-25 14:10:00,1227.9,,,1228.0166666666667,
23,open,,0,,[],[],,,,8.0,,19,,,,,,2019-09-25 14:10:00,1227.9,,,,,2019-09-25 14:15:00,1044.5,,,,
24,reheat,,0,,[],[],,,,131.29999999998836,,19,,,,15.0,,2019-09-25 14:15:00,1044.5,,,,,2019-09-25 14:43:00,,,,,
25,hold,,0,,[],[],,,,6.399999999994179,,19,,,,,,2019-09-25 14:43:00,1251.6,,,,,2019-09-25 14:44:00,1252.3,,,1251.9499999999996,
26,open,,0,,[],[],,,,9.5,,19,,,,,,2019-09-25 14:44:00,1252.3,,,,,2019-09-25 14:49:00,1061.3,,,,
27,reheat,,0,,[],[],,,,99.5,,19,,,,0.0,,2019-09-25 14:49:00,1061.3,,,,,2019-09-25 15:00:00,,,,,
28,hold,,0,,[],[],,,,304.70000000001164,,19,,,,,,2019-09-25 15:00:00,1249.7,,,,,2019-09-25 16:55:00,1246.4,,,1246.6275862068965,
29,open,,0,,[],[],,,,4.899999999994178,,19,,,,,,2019-09-25 16:55:00,1246.4,,,,,2019-09-25 16:59:00,1086.8,,,,
30,reheat,,0,,[],[],,,,71.70000000001164,,19,,,,1.0,,2019-09-25 16:59:00,1086.8,,,,,2019-09-25 17:08:00,,,,,
31,heat,6.0,0,325.5405405405404,[],[],increasing 0,401.49999999999983,1.2333333333333334,971.5,971.5,19,1249.1,0,0.0,2.0,"['190826-19088-003', '190921-99010-001', '190527-19501-040', '190527-19501-039']",2019-09-25 18:38:00,847.6,2019-09-25 18:37:00,839.1,2019-09-25 18:16:00,,2019-09-25 19:52:00,1249.1,,0.0,,
32,open,,0,,[],[],,,,8.100000000005819,,19,,,,,,2019-09-25 22:36:00,1246.7,,,,,2019-09-25 22:41:00,1026.8,,,,
33,reheat,,0,,[],[],,,,70.5,,19,,,,2.0,,2019-09-25 22:41:00,1026.8,,,,,2019-09-25 22:48:00,,,,,
34,open,,0,,[],[],,,,12.799999999988358,,19,,,,,,2019-09-25 22:49:00,1211.2,,,,,2019-09-25 22:54:00,1000.1,,,,
35,reheat,,0,,[],[],,,,195.60000000000585,,19,,,,1.0,,2019-09-25 22:54:00,1000.1,,,,,2019-09-25 23:10:00,,,,,
36,hold,,0,,[],[],,,,612.3999999999943,,19,,,,,,2019-09-25 23:10:00,1254.5,,,,,2019-09-26 01:02:00,1246.5,,,1246.6663716814155,
37,open,,0,,[],[],,,,11.5,,19,,,,,,2019-09-26 01:02:00,1246.5,,,,,2019-09-26 01:07:00,1055.3,,,,
38,reheat,,0,,[],[],,,,79.30000000001745,,19,,,,0.0,,2019-09-26 01:07:00,1055.3,,,,,2019-09-26 01:15:00,,,,,
39,hold,,0,,[],[],,,,9.699999999982538,,19,,,,,,2019-09-26 01:15:00,1252.8,,,,,2019-09-26 01:16:00,1253.6,,,1253.1999999999996,
40,open,,0,,[],[],,,,49.0,,19,,,,,,2019-09-26 01:16:00,1253.6,,,,,2019-09-26 01:27:00,1039.3,,,,
41,reheat,,0,,[],[],,,,149.2000000000116,,19,,,,1.0,,2019-09-26 01:27:00,1039.3,,,,,2019-09-26 01:44:00,,,,,
42,hold,,0,,[],[],,,,1216.6000000000058,,19,,,,,,2019-09-26 01:44:00,1246.0,,,,,2019-09-26 08:33:00,1246.4,,,1246.3658536585365,
43,open,,0,,[],[],,,,4.899999999994178,,19,,,,,,2019-09-26 08:33:00,1246.4,,,,,2019-09-26 08:40:00,1002.8,,,,
44,reheat,,0,,[],[],,,,114.0,,19,,,,1.0,,2019-09-26 08:40:00,1002.8,,,,,2019-09-26 08:52:00,,,,,
45,hold,,0,,[],[],,,,238.89999999999415,,19,,,,,,2019-09-26 08:52:00,1249.9,,,,,2019-09-26 10:13:00,1246.8,,,1246.869512195122,
46,open,,0,,[],[],,,,3.3000000000174623,,19,,,,,,2019-09-26 10:13:00,1246.8,,,,,2019-09-26 10:19:00,1013.2,,,,
47,reheat,,0,,[],[],,,,190.5,,19,,,,1.0,,2019-09-26 10:19:00,1013.2,,,,,2019-09-26 10:41:00,,,,,
48,hold,,0,,[],[],,,,458.0,,19,,,,,,2019-09-26 10:41:00,1249.8,,,,,2019-09-26 13:18:00,1246.9,,,1247.1234177215188,
